# nonCO2 emissions
ghg,var1,var2,unit_conv
BC,Emissions|BC,,1
BC_AWB,Emissions|BC,,1
C2F6,,,
CF4,,,
CH4,Emissions|CH4,Emissions|CH4|Energy,1
CH4_AGR,Emissions|CH4,Emissions|CH4|AFOLU,1
CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,1
CO,Emissions|CO,,1
CO_AWB,Emissions|CO,,1
HFC125,,,
HFC134a,,,
HFC143a,,,
HFC152a,,,
HFC227ea,,,
HFC23,,,
HFC236fa,,,
HFC245fa,,,
HFC32,,,
HFC365mfc,,,
HFC43,,,
N2O,Emissions|N2O,Emissions|N2O|Energy,1000
N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,1000
N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,1000
NH3,Emissions|NH3,,1
NH3_AGR,Emissions|NH3,,1
NH3_AWB,Emissions|NH3,,1
NMVOC,Emissions|VOC,,1
NMVOC_AWB,Emissions|VOC,,1
NOx,Emissions|NOx,,1
NOx_AGR,Emissions|NOx,,1
NOx_AWB,Emissions|NOx,,1
OC,Emissions|OC,,1
OC_AWB,Emissions|OC,,1
SF6,,,
SO2_1,Emissions|Sulfur,,1
SO2_1_AWB,Emissions|Sulfur,,1
SO2_2,Emissions|Sulfur,,1
SO2_2_AWB,Emissions|Sulfur,,1
SO2_3,Emissions|Sulfur,,1
SO2_3_AWB,Emissions|Sulfur,,1
SO2_4,Emissions|Sulfur,,1
SO2_4_AWB,Emissions|Sulfur,,1
